Id,Title,Time,Type,Duration,Img,CoverBg,movieDesc,Released,Genre,Casts,Country,Production,IMDB_rating
44,Speak No Evil,2024,Movie,110m,https://img.moviesjoy.is/resize/188x288/f5/5b/f55bbcc19adc983cb4503cbcb46a8d21/f55bbcc19adc983cb4503cbcb46a8d21.jpg,https://img.moviesjoy.is/resize/1288x788/6a/87/6a87db411ad0be19597a38703f04b2a8/6a87db411ad0be19597a38703f04b2a8.jpg,"When an American family is invited to spend the weekend at the idyllic country estate of a charming British family they befriended on vacation, what begins as a dream holiday soon warps into a snarled psychological nightmare.",2024-09-11,"['horror', 'thriller']","['aisling-franciosi', 'alix-west-lefler', 'mackenzie-davis', 'motaz-malhees', 'scoot-mcnairy']",dk,['blumhouse-productions'],7.2
45,Love on the Danube: Love Song,2024,Movie,84m,https://img.moviesjoy.is/resize/188x288/f4/e4/f4e4b438b77b51ca5482105ea09d3f6d/f4e4b438b77b51ca5482105ea09d3f6d.jpg,https://img.moviesjoy.is/resize/1288x788/09/14/0914cbdf3fbcfd4f5862d23b2be46630/0914cbdf3fbcfd4f5862d23b2be46630.jpg,A daughter traveling with her widowed mother and a son traveling with his widower father meet on a cruise and decide that their musical parents would make the perfect couple try to engineer a romance only to falling in love themselves.,2024-09-10,"['tv-movie', 'romance']","['catherine-disher', 'kathryn-drysdale', 'nazneen-contractor', 'wes-brown']",gb,"['bnp-paribas-fortis', 'leif-films', 'love-cubed', 'moviehouse-entertainment', 'saga-film']",6.3
46,The Jane Mysteries: A Deadly Prescription,2024,Movie,84m,https://img.moviesjoy.is/resize/188x288/63/7d/637d2a888fb3a0cea063cdea54869cee/637d2a888fb3a0cea063cdea54869cee.jpg,https://img.moviesjoy.is/resize/1288x788/80/7d/807d7473f5a9cbd1ca519cc427292d7c/807d7473f5a9cbd1ca519cc427292d7c.jpg,Jane Da Silva and Detective John fight for justice as they race against time to prove the innocence of a wrongly imprisoned teenager.,2024-09-10,"['tv-movie', 'mystery']","['stephen-huszar', 'paris-jefferson', 'jodie-sweetin']",ca,['brain-power-studio'],6
47,Dracula's Ex-Girlfriend,2024,Movie,32m,https://img.moviesjoy.is/resize/188x288/3a/1b/3a1b381ac4ee12bc78c031bf80fa1490/3a1b381ac4ee12bc78c031bf80fa1490.jpg,https://img.moviesjoy.is/resize/1288x788/36/cc/36ccaf04d420fe509465c156d3debff3/36ccaf04d420fe509465c156d3debff3.jpg,"Two former rivals reconnect over drinks and a quick bite. One is compulsively running through men and can’t kick the habit of drinking their blood, and the other is working through her trauma and settling down with a new career in monster counseling. Things get a little uncomfortable when the conversation turns to the same toxic lover that connected them — Count Dracula — one of whom is still entangled with him.",2024-09-09,"['fantasy', 'horror']","['patrick-willems', 'molly-malin', 'dave-wiskus', 'ben-lowrie', 'alexandra-siso']",us,['dex-productions'],6.6
48,His & Hers,2024,Movie,84m,https://img.moviesjoy.is/resize/188x288/53/dd/53dd6e29668be307fa76c06673f80e3d/53dd6e29668be307fa76c06673f80e3d.jpg,https://img.moviesjoy.is/resize/1288x788/75/81/758176ae712647b275fb07fe1a8bad68/758176ae712647b275fb07fe1a8bad68.jpg,Lawyers Mark and Dana are the perfect married couple until they find themselves on opposite sides of a highly public divorce case involving a warring reality show couple.,2024-09-07,"['romance', 'tv-movie']","['lacey-chabert', 'brennan-elliott', 'kaden-connors', 'clayton-chitty']",us,"['hallmark-media', 'crown-media-productions']",6.1
49,Scooped,2024,Movie,82m,https://img.moviesjoy.is/resize/188x288/78/67/7867f1afbf113a0d182573437a026cb7/7867f1afbf113a0d182573437a026cb7.jpg,https://img.moviesjoy.is/resize/1288x788/08/30/0830a5793b8741be4a0e7d96861acdfa/0830a5793b8741be4a0e7d96861acdfa.jpg,"Three intrepid 10-year-olds love playing their spies and assassins board game, but things get real when they stumble upon criminals planning a heist in their local park. Determined to stop them, they embark on a hilarious adventure from their quiet neighborhood to the criminals' hideout.",2024-09-07,"['action', 'adventure', 'family']","['jameson-martel', 'bradley-fisher', 'jacqueline-lee-york', 'alexander-schmidt', 'mitchell-price']",us,['frozzen-pixel'],N/A
50,The Practice,2024,Movie,89m,https://img.moviesjoy.is/resize/188x288/0c/c4/0cc4a12d627881b0d91b7ffd0b72e1d4/0cc4a12d627881b0d91b7ffd0b72e1d4.jpg,https://img.moviesjoy.is/resize/1288x788/fd/b5/fdb538b1acd49043ddc7e360838c5988/fdb538b1acd49043ddc7e360838c5988.jpg,"Dealing with a series of increasingly absurd situations and relationships, recently separated yoga instructors Gustavo and Vanesa are finding it difficult to live apart. Their challenges include meddling mothers, amnesiac students, and burgeoning romances. Step by step, they find their way back to the practice.",2024-09-05,"['drama', 'comedy']","['elvis-fuentes', 'catalina-saavedra', 'mirta-busnelli', 'victor-montero', 'celine-wempe']",de,"['la-union-de-los-rios', 'rosa-filmes', 'forastero', 'the-film-kitchen', 'pandora-film', 'interior13-cine', 'un-puma']",N/A
51,His Three Daughters,2024,Movie,104m,https://img.moviesjoy.is/resize/188x288/9e/bc/9ebcf22fbce33fa149990f94a51ee2d5/9ebcf22fbce33fa149990f94a51ee2d5.jpg,https://img.moviesjoy.is/resize/1288x788/e2/84/e284c0d2cd656032063d1dd999c7671f/e284c0d2cd656032063d1dd999c7671f.jpg,Emotions run high when three estranged sisters reunite in a cramped New York City apartment to watch over their ailing father during his final days.,2024-09-05,"['drama', 'comedy']","['elizabeth-olsen', 'carrie-coon', 'natasha-lyonne', 'randy-ramos-jr', 'jay-o-sanders']",us,"['tango-entertainment', 'animal-pictures', 'high-frequency-entertainment', 'case-study-films', 'arts-sciences', 'talkies']",7.6
52,The Front Room,2024,Movie,95m,https://img.moviesjoy.is/resize/188x288/88/4a/884a89eed3fa82258d6c3fcde6fe61a3/884a89eed3fa82258d6c3fcde6fe61a3.jpg,https://img.moviesjoy.is/resize/1288x788/4f/2c/4f2c803a18cb2228446da15c8c7cac7a/4f2c803a18cb2228446da15c8c7cac7a.jpg,"Everything goes to hell for newly-pregnant Belinda after her mother-in-law moves in. As the diabolical guest tries to get her claws on the child, Belinda must draw the line somewhere.",2024-09-05,['horror'],"['toree-hill', 'kerry-flanagan', 'brandy-norwood', 'desi-ramos', 'ellen-j-maddow']",gb,"['a24', 'two-and-two-pictures']",5.2
53,Technoboys,2024,Movie,109m,https://img.moviesjoy.is/resize/188x288/8a/9c/8a9ce73cad36aa1c19de19719053afa5/8a9ce73cad36aa1c19de19719053afa5.jpg,https://img.moviesjoy.is/resize/1288x788/04/31/043153a0e6be0063d9a973b92c639247/043153a0e6be0063d9a973b92c639247.jpg,"They're fierce, they're iconic, they're back — and they're totally lost. A boyband seeking a renaissance must navigate a world they barely understand.",2024-09-05,"['comedy', 'music']","['monica-del-carmen', 'joaquin-ferreira', 'fernanda-castillo', 'paola-fernandez', 'luis-gerardo-mendez']",mx,"['cine-vaquero', 'panorama-global', 'bengala']",5.1
