Id,Title,Time,Type,Duration,Img,CoverBg,movieDesc,Released,Genre,Casts,Country,Production,IMDB_rating
64,(Un)lucky Sisters,2024,Movie,82m,https://img.moviesjoy.is/resize/188x288/0e/6e/0e6e3127d689fdad4a1ecb80fbeed43e/0e6e3127d689fdad4a1ecb80fbeed43e.jpg,https://img.moviesjoy.is/resize/1288x788/5b/95/5b95f4e2b83a2d3e0c9fbed74d047554/5b95f4e2b83a2d3e0c9fbed74d047554.jpg,,2024-08-30,"['comedy', 'drama']","['ignacio-gimenez', 'leticia-siciliani', 'manuel-vignau', 'luciano-borges', 'sofia-morandi']",ar,['patagonik'],5.1
65,My First Film,2024,Movie,100m,https://img.moviesjoy.is/resize/188x288/0a/23/0a236dab6bbc503ae6d296dd87826b14/0a236dab6bbc503ae6d296dd87826b14.jpg,https://img.moviesjoy.is/resize/1288x788/4b/02/4b020b08a7b26f2bbd5c0dfafb397e21/4b020b08a7b26f2bbd5c0dfafb397e21.jpg,"A young filmmaker, Vita, revisits her first chaotic attempt at filmmaking 15 years prior. Shooting a semi-autobiographical film starring her friend Dina, Vita’s eager but inexperienced approach causes the production to spiral into chaos, leading to significant disruptions and a near-fatal accident.",2024-08-30,['drama'],"['odessa-young', 'devon-ross', 'cole-doman', 'philip-ettinger', 'eleonore-hendricks']",gb,"['memory', 'mubi']",5.8
66,First Shift,2024,Movie,89m,https://img.moviesjoy.is/resize/188x288/78/f4/78f4405c685659eb36c62f5af1f05f9b/78f4405c685659eb36c62f5af1f05f9b.jpg,https://img.moviesjoy.is/resize/1288x788/e6/14/e614170211e1bbdc8f6eb68dcb9477be/e614170211e1bbdc8f6eb68dcb9477be.jpg,"NYPD veteran Mike and rookie Angela tackle a high-stakes day on New York's toughest streets, diving headfirst into a vortex of danger and action. Their adrenaline-fueled pursuits and unexpected threats unfold as they navigate perilous encounters. Amidst the chaos, intense challenges forge unbreakable bonds.",2024-08-30,"['drama', 'thriller', 'action']","['oliver-stafford', 'martin-ewens', 'michael-wren-gucciardo', 'james-mcmenamin', 'marci-fine']",us,['event-filmproduktion'],4.2
67,Out Come the Wolves,2024,Movie,87m,https://img.moviesjoy.is/resize/188x288/08/83/08837673b1f9eafc05bd7142df346e25/08837673b1f9eafc05bd7142df346e25.jpg,https://img.moviesjoy.is/resize/1288x788/b7/15/b71543ab792bcae54196b3434dfe7acb/b71543ab792bcae54196b3434dfe7acb.jpg,"At a cabin deep in the wilderness, a weekend of hunting turns to mayhem and a fight for survival when a pack of wolves attack a man, his female best friend and her fiance.",2024-08-30,"['thriller', 'horror', 'action']","['damon-runyan', 'missy-peregrym', 'joris-jarsky']",ca,"['december-films', 'high-park-entertainment']",4.6
68,Flow,2024,Movie,84m,https://img.moviesjoy.is/resize/188x288/f0/9f/f09f453631620cca0b5c3ee6983a579a/f09f453631620cca0b5c3ee6983a579a.jpg,https://img.moviesjoy.is/resize/1288x788/af/4d/af4dc841536bff8b7db9f2ab240df135/af4dc841536bff8b7db9f2ab240df135.jpg,"The world seems to be coming to an end, teeming with the vestiges of a human presence. Cat is a solitary animal, but as its home is devastated by a great flood, he finds refuge on a boat populated by various species, and will have to team up with them despite their differences. In the lonesome boat sailing through mystical overflowed landscapes, they navigate the challenges and dangers of adapting to this new world.",2024-08-30,"['animation', 'fantasy', 'adventure']",[],be,"['dream-well-studio', 'sacrebleu-productions', 'take-five']",8.2
69,All We Wanted,2024,Movie,103m,https://img.moviesjoy.is/resize/188x288/96/4d/964d9f130c549487f7fbafbd466a29ef/964d9f130c549487f7fbafbd466a29ef.jpg,https://img.moviesjoy.is/resize/1288x788/ae/11/ae1114bc5c388a3295d44e5cffe1dd06/ae1114bc5c388a3295d44e5cffe1dd06.jpg,"A desperate filmmaker and his friends travel to a remote estate for a meeting with a family of potential investors to fund their film. The night takes a deadly turn, as they must band together with the family and fight for their lives against a group of masked intruders with sinister intentions.",2024-08-30,"['horror', 'thriller']","['les-best', 'patrick-a-grover', 'maurice-moore', 'leila-anastasia-scott', 'joshua-hancock']",us,[],N/A
70,You Gotta Believe,2024,Movie,104m,https://img.moviesjoy.is/resize/188x288/13/79/137971adb47d898ce54500d53139a763/137971adb47d898ce54500d53139a763.jpg,https://img.moviesjoy.is/resize/1288x788/f3/5a/f35ac26583d10484f8b502f602fe1a7d/f35ac26583d10484f8b502f602fe1a7d.jpg,"After dedicating the season to a teammate’s ailing father, a group of underestimated Ft. Worth youth baseball players takes its Cinderella run all the way to the 2002 Little League World Series—culminating in a record-breaking showdown that became an instant ESPN classic.",2024-08-30,"['family', 'drama']","['etienne-kellici', 'connor-mcmahon', 'gavin-maciverwright', 'zachary-morton', 'patrick-renna']",us,"['santa-rita-film-co', 'well-go-usa-entertainment', 'media-finance-capital']",5.9
71,Sex,2024,Movie,125m,https://img.moviesjoy.is/resize/188x288/c2/20/c2201688a63c3853f39f51864d0ffc1a/c2201688a63c3853f39f51864d0ffc1a.jpg,https://img.moviesjoy.is/resize/1288x788/50/40/504048cf4fff029370c258893c7364b2/504048cf4fff029370c258893c7364b2.jpg,"Two men in heterosexual marriages whose unexpected experiences challenge their perceptions of sexuality, gender and identity.",2024-08-30,"['drama', 'romance']","['nasrin-khusrawi', 'iver-innset', 'jan-gunnar-roise', 'anne-marie-ottersen', 'vetle-bergan']",no,"['motlys', 'viaplay-group', 'nordic-entertainment-group']",6.9
72,The Wasp,2024,Movie,96m,https://img.moviesjoy.is/resize/188x288/fe/81/fe8126a55f3c7a1aa5db80a48238b0d6/fe8126a55f3c7a1aa5db80a48238b0d6.jpg,https://img.moviesjoy.is/resize/1288x788/69/5e/695eddc096208b89e89b0144b3968a68/695eddc096208b89e89b0144b3968a68.jpg,"Heather bumps into Carla, having not spoken to her in years, and presents her with a very unexpected proposition that could change both of their lives forever.",2024-08-29,"['drama', 'thriller']","['eire-farrell', 'rupert-hollidayevans', 'natalie-dormer', 'jack-morris', 'evelyn-morris']",gb,"['xyz-films', 'tea-shop-productions', 'royal-viking-entertainment', 'paradise-city-films']",6.5
73,Reagan,2024,Movie,135m,https://img.moviesjoy.is/resize/188x288/42/b1/42b19fd173af0818973a1a3cef62aee3/42b19fd173af0818973a1a3cef62aee3.jpg,https://img.moviesjoy.is/resize/1288x788/16/8f/168faa5ae8cd3a89f480fe0e83131067/168faa5ae8cd3a89f480fe0e83131067.jpg,"Told through the voice of former KGB agent Viktor Petrovich, whose life becomes inextricably linked with Ronald Reagan's when Reagan first caught the Soviets’ attention as an actor in Hollywood, Reagan overcomes the odds to become the 40th president of the United States.",2024-08-29,"['drama', 'history']","['lena-harmon', 'brenda-williams', 'will-wallace', 'aaron-j-brooks', 'david-henrie']",us,"['rawhide-pictures', 'voltage-pictures', 'brookwell-mcnamara-entertainment']",6.5
74,#AMFAD: All My Friends Are Dead,2024,Movie,91m,https://img.moviesjoy.is/resize/188x288/32/61/32614abbf3ea5c17f5e66bb24edd928a/32614abbf3ea5c17f5e66bb24edd928a.jpg,https://img.moviesjoy.is/resize/1288x788/9f/ea/9fea2ebacb4f07b19fbfde98c4608ad9/9fea2ebacb4f07b19fbfde98c4608ad9.jpg,"A group of college friends rent an Airbnb for the biggest music festival of the year. But their weekend of partying quickly takes a turn, as the group is murdered one by one, in correspondence with the seven deadly sins.",2024-08-29,"['horror', 'thriller']","['julian-haig', 'madeline-mcinnis', 'sean-vandygriff', 'jade-pettyjohn', 'justin-derickson']",us,"['roundtable-entertainment', 'digital-riot-media', 'film-mode-entertainment']",4.3
75,1992,2024,Movie,96m,https://img.moviesjoy.is/resize/188x288/ae/97/ae9758dffb6094e3a900551cd2231323/ae9758dffb6094e3a900551cd2231323.jpg,https://img.moviesjoy.is/resize/1288x788/fa/04/fa04eca3ddac477125801a961ce35f14/fa04eca3ddac477125801a961ce35f14.jpg,"In 1992, Mercer is desperately trying to rebuild his life and his relationship with his son amidst the turbulent Los Angeles uprising following the Rodney King verdict. Across town, another father and son put their own strained relationship to the test as they plot a dangerous heist to steal catalytic converters, which contain valuable platinum from the factory where Mercer works. As tensions rise and chaos erupts, both families reach their boiling points when their worlds collide.",2024-08-29,"['crime', 'thriller']","['hanad-abdi', 'ray-liotta', 'scott-eastwood', 'oleg-taktarov', 'michael-beasley']",us,"['trident-films', 'death-row-pictures', 'kodiak-pictures', 'sumatra-films']",6.4
76,The Heiress and the Handyman,2024,Movie,84m,https://img.moviesjoy.is/resize/188x288/d9/02/d9023a64b5badf874af9673f0a289cdc/d9023a64b5badf874af9673f0a289cdc.jpg,https://img.moviesjoy.is/resize/1288x788/1a/58/1a5811e60819804f9656431752e639be/1a5811e60819804f9656431752e639be.jpg,"After losing her fortune, an heiress moves to a rural farm where she mistakes her handsome neighbour for the handyman. To live up to her family's legacy, he helps her compete at the county fair.",2024-08-29,"['tv-movie', 'romance']","['corey-sevier', 'jodie-sweetin']",ca,['brain-power-studio'],4.6
77,Hounds of War,2024,Movie,94m,https://img.moviesjoy.is/resize/188x288/be/3f/be3f99ea7c9fe61482618a58203df98b/be3f99ea7c9fe61482618a58203df98b.jpg,https://img.moviesjoy.is/resize/1288x788/42/6d/426d1f229a0c34c36d89e69af95eaa3b/426d1f229a0c34c36d89e69af95eaa3b.jpg,"After a mission goes wrong, only one of a group of mercenaries is left alive to avenge his fallen brothers.",2024-08-29,"['action', 'crime', 'thriller']","['mike-moller', 'mark-strange', 'rhona-mitra', 'nicky-whelan', 'joey-ansah']",us,['juggernaut-productions'],5.9
78,Believer,2024,Movie,108m,https://img.moviesjoy.is/resize/188x288/a0/fd/a0fd21be40bd6547b5a8f12664431d2a/a0fd21be40bd6547b5a8f12664431d2a.jpg,https://img.moviesjoy.is/resize/1288x788/15/cf/15cfabff2fe655d78093bf06d7756a64/15cfabff2fe655d78093bf06d7756a64.jpg,"A young writer is attacked by a notorious cult leader and mass murderer, a man who exerts an inexplicable control over his followers. When she claims no memory of the attack, her family begins to question her motives.",2024-08-29,"['horror', 'thriller', 'mystery']","['alex-mallari-jr', 'lauren-lee-smith', 'vladimir-bondarenko', 'peter-mooney', 'martin-roach']",ca,['ignition-media-and-entertainment'],N/A
79,Table for 3,2024,Movie,47m,https://img.moviesjoy.is/resize/188x288/a9/cc/a9cc1ff8b8050ef2d07f0273c8f8417e/a9cc1ff8b8050ef2d07f0273c8f8417e.jpg,https://img.moviesjoy.is/resize/1288x788/06/fa/06fad185acc2fd8c6a6ad9a2f24d6b72/06fad185acc2fd8c6a6ad9a2f24d6b72.jpg,Couple Paul and Marlon decide to jazz up their long-standing relationship by including the charismatic Jeremy as their third. The complexities of this new dynamic will reveal whether their bond will strengthen or will be torn apart.,2024-08-28,['drama'],"['jessie-guinto', 'topper-fabregas', 'jessie-guinto', 'topper-fabregas', 'arkin-del-rosario']",ph,"['the-ideafirst-company', 'vivamax']",5.8
80,Toby Keith: American Icon,2024,Movie,84m,https://img.moviesjoy.is/resize/188x288/39/26/392626ca95f809b4038c1a2b19bcc36d/392626ca95f809b4038c1a2b19bcc36d.jpg,https://img.moviesjoy.is/resize/1288x788/d4/21/d421a63502aacc63c14300c6f4c7221e/d421a63502aacc63c14300c6f4c7221e.jpg,"Luke Bryan, Carrie Underwood and more gather for a once-in-a-lifetime concert celebrating the life and legacy of global superstar Toby Keith.",2024-08-28,['music'],"['eric-church', 'luke-bryan', 'lainey-wilson', 'carrie-underwood', 'brett-favre']",us,[],7.2
81,Afraid,2024,Movie,84m,https://img.moviesjoy.is/resize/188x288/45/d8/45d8a9874de2a7f9b9e4f386ea0feb83/45d8a9874de2a7f9b9e4f386ea0feb83.jpg,https://img.moviesjoy.is/resize/1288x788/2a/79/2a799805881504dd13caa4c5bf766296/2a799805881504dd13caa4c5bf766296.jpg,Curtis Pike and his family are selected to test a new home device: a digital assistant called AIA. AIA observes the family's behaviors and begins to anticipate their needs. And she can – and will – make sure nothing – and no one – gets in her family's way.,2024-08-28,"['horror', 'science-fiction', 'thriller']","['ashton-essex-bright', 'john-cho', 'river-drosche', 'keith-carradine', 'rogelio-douglas-iii']",us,"['blumhouse-productions', 'depth-of-field']",5.1
82,Rebel Ridge,2024,Movie,131m,https://img.moviesjoy.is/resize/188x288/c2/7a/c27afcf057758b8ddfe64695a16649aa/c27afcf057758b8ddfe64695a16649aa.jpg,https://img.moviesjoy.is/resize/1288x788/aa/b7/aab70fde1ca4b32f17b99113fe263247/aab70fde1ca4b32f17b99113fe263247.jpg,A former Marine confronts corruption in a small town when local law enforcement unjustly seizes the bag of cash he needs to post his cousin's bail.,2024-08-27,"['action', 'crime', 'thriller']","['brannon-cross', 'harlon-miller', 'aaron-pierre', 'annasophia-robb', 'dana-lee']",us,"['filmscience', 'bonneville-pictures']",7.1
83,Private Tutor,2024,Movie,65m,https://img.moviesjoy.is/resize/188x288/b8/ab/b8abb17a90eb7730fdc0192af49fe38a/b8abb17a90eb7730fdc0192af49fe38a.jpg,https://img.moviesjoy.is/resize/1288x788/65/e4/65e4b97faeb0678ef1c94b103b6df84a/65e4b97faeb0678ef1c94b103b6df84a.jpg,A hot private tutor gives a lesson on intimacy to a curious student. But for how long can they keep their lessons private when somebody else wants to join in on the topic?,2024-08-27,['drama'],"['christy-imperial', 'mark-dionisio', 'juwilyn-legaspi', 'melanie-tuquero', 'pia-montes']",ph,['vivamax'],N/A
84,Untamed Royals,2024,Movie,99m,https://img.moviesjoy.is/resize/188x288/fe/0b/fe0b622fcd30e1c488f2fd540bd8d556/fe0b622fcd30e1c488f2fd540bd8d556.jpg,https://img.moviesjoy.is/resize/1288x788/c0/92/c09241bef3f889569f3a5e0eae5e1d89/c09241bef3f889569f3a5e0eae5e1d89.jpg,"A group of wealthy teenagers commit crimes that escalate from petty mischief to dangerous plots, causing chaotic consequences — but not for them.",2024-08-27,"['drama', 'thriller', 'crime']","['alfonso-herrera', 'ximena-lamadrid', 'fernando-cattori', 'renata-manterola', 'juan-pablo-fuentes']",mx,[],4.6
85,Adam Sandler: Love You,2024,Movie,74m,https://img.moviesjoy.is/resize/188x288/02/b1/02b10fcc72cae700600e7fc88f04be43/02b10fcc72cae700600e7fc88f04be43.jpg,https://img.moviesjoy.is/resize/1288x788/41/55/41553ce2d0c0f5d8e97b0e50b166359b/41553ce2d0c0f5d8e97b0e50b166359b.jpg,"Adam Sandler hits the stage for a thrillingly unpredictable comedy special featuring songs, jokes, party-crashing dogs and plenty of love.",2024-08-26,"['comedy', 'documentary']","['dan-bulla', 'adam-sandler']",us,"['happy-madison-productions', 'elara-pictures', 'happy-madison-productions']",6.8
86,Adam Hills: Foot Fault,2024,Movie,60m,https://img.moviesjoy.is/resize/188x288/5b/21/5b21d0ba433100a5d6aa6d1b80b7c8d2/5b21d0ba433100a5d6aa6d1b80b7c8d2.jpg,https://img.moviesjoy.is/resize/1288x788/1c/56/1c56b69c2aef92c440274e514ae97cd3/1c56b69c2aef92c440274e514ae97cd3.jpg,Join Adam Hills on his funny and personal campaign to support Para-Standing Tennis' growth as he uncovers the barriers facing aspiring players. Sky Original documentary.,2024-08-26,[],['adam-hills'],gb,['noah-media-group'],7.7
87,The Magic of Lemon Drops,2024,Movie,84m,https://img.moviesjoy.is/resize/188x288/10/14/10146162c4da5948594b166c3aa6fad3/10146162c4da5948594b166c3aa6fad3.jpg,https://img.moviesjoy.is/resize/1288x788/70/82/70824479537528f47cab61d95fb9c610/70824479537528f47cab61d95fb9c610.jpg,"When Lolly’s aunt gives her three magical lemon drops, she gets to experience what her life would have been like if she had made different choices and lived those unfulfilled dreams.",2024-08-24,['romance'],"['stephanie-sy', 'henriette-ivanans', 'mariam-bernstein', 'john-b-lowe', 'anaka-sandhu']",us,['hallmark-media'],6.7
88,Tòkunbò̩,2024,Movie,112m,https://img.moviesjoy.is/resize/188x288/d2/18/d218aaa9d874eb88c5617d4311717175/d218aaa9d874eb88c5617d4311717175.jpg,https://img.moviesjoy.is/resize/1288x788/1f/dc/1fdcda10a0323949aa804b0634e71520/1fdcda10a0323949aa804b0634e71520.jpg,An ex-car smuggler is given three hours to deliver a government official's daughter to her captor - or else his family will suffer the consequences.,2024-08-23,"['thriller', 'crime', 'drama']","['ivie-okujaye', 'adunni-ade', 'funlola-aofiyebiraimi', 'tosin-adeyemi', 'gideon-okeke']",ng,[],4.8
89,The Mouse Trap,2024,Movie,80m,https://img.moviesjoy.is/resize/188x288/ab/84/ab848ef3dc8c03f32bf25592fc1c7d14/ab848ef3dc8c03f32bf25592fc1c7d14.jpg,https://img.moviesjoy.is/resize/1288x788/16/0c/160c7e271deb86258aad1cd32a6c7e99/160c7e271deb86258aad1cd32a6c7e99.jpg,"It's Alex's 21st Birthday, but she's stuck at the amusement arcade on a late shift so her friends decide to surprise her, but a masked killer dressed as Mickey Mouse decides to play a game of his own with them which she must survive.",2024-08-23,"['horror', 'comedy', 'thriller']","['simon-phillips', 'nick-biskupek', 'jesse-nasmith', 'madeline-kelman', 'mireille-gagne']",ca,"['into-frame-productions', 'bailey-phillips-productions', 'gravitas-ventures']",2.5
90,Nelly Knows Mysteries: A Fatal Engagement,2024,Movie,84m,https://img.moviesjoy.is/resize/188x288/37/a5/37a5e1fd9d888a3efe1af26af8926fcb/37a5e1fd9d888a3efe1af26af8926fcb.jpg,https://img.moviesjoy.is/resize/1288x788/c1/04/c104c69d48e66138a74d82d247b06b32/c104c69d48e66138a74d82d247b06b32.jpg,"When an unusual handwritten letter arrives at Nelly’s office, she identifies the handwriting as belonging to her childhood friend Dahlia, claiming her boyfriend Blake is being unfaithful. Determined to help, Nelly wants some answers and rushes to Blake’s home only to find his dead body. When Dahlia becomes the prime suspect, the new, handsome Detective in town, Michael Hogan must work with Nelly to prove that her childhood friend is not the killer everyone believes her to be.",2024-08-23,"['comedy', 'mystery', 'tv-movie']","['veronica-long', 'emma-pedersen', 'kate-isaac', 'andrea-reindl', 'aaron-craven']",ca,"['hallmark-media', 'crown-media-productions']",6.4
91,We Will Dance Again,2024,Movie,91m,https://img.moviesjoy.is/resize/188x288/a9/bf/a9bfdfdbe7d09b766c02df21b2b662a7/a9bfdfdbe7d09b766c02df21b2b662a7.jpg,https://img.moviesjoy.is/resize/1288x788/41/52/41529b05611b89d1855f7ffce59baaed/41529b05611b89d1855f7ffce59baaed.jpg,"A music festival symbolizing peace, freedom, and eternal love transforms into a horrifying nightmare of terror. Survivors, marked by death and trauma, reconstruct the event through their perspectives, embodying the lost innocence and beauty of youth, forever scarred by the tragic events that unfolded. This is a horrifying glimpse through the eyes of the individuals who endured the brutal October 7th onslaught at the Nova music festival.",2024-08-23,['documentary'],[],il,"['bbc-storyville', 'bitachon365', 'sipur', 'see-it-now-studios', 'hot', 'hscc-slutzky-communication']",6.1
92,Ang Kapitbahay,2024,Movie,52m,https://img.moviesjoy.is/resize/188x288/af/7e/af7e9e1a640fe56a76f165047e944256/af7e9e1a640fe56a76f165047e944256.jpg,https://img.moviesjoy.is/resize/1288x788/9d/c9/9dc9244260ce541e5d0b58faaf0441b2/9dc9244260ce541e5d0b58faaf0441b2.jpg,"An edgy sexy thriller about an innocent college boy and the woman who would introduce him to manhood. Alex meets his new sultry neighbor, Rose, who awakens his sexual desire and gives him his first sexual experience only to learn a trap awaits him.",2024-08-23,['drama'],"['chester-grecia', 'christine-bermas', 'raven-crystal-castro', 'clifford-pusing']",ph,['vivamax'],N/A
93,Hostile Dimensions,2024,Movie,77m,https://img.moviesjoy.is/resize/188x288/74/e2/74e2ee323e3aa9acd7e2054756319584/74e2ee323e3aa9acd7e2054756319584.jpg,https://img.moviesjoy.is/resize/1288x788/c2/ae/c2ae9c309165e87d8695f453b4be5c63/c2ae9c309165e87d8695f453b4be5c63.jpg,Two documentary filmmakers travel through alternate dimensions to uncover the truth about a graffiti artist who has vanished.,2024-08-23,"['horror', 'science-fiction']","['stephen-beavis', 'josie-rogers', 'joma-west', 'paddy-kondracki', 'graham-hughes']",gb,"['enlightened-monster-productions', 'dark-sky-films']",N/A
94,Sven,2024,Movie,107m,https://img.moviesjoy.is/resize/188x288/e5/62/e562b6e0debb6f396195360e32aef947/e562b6e0debb6f396195360e32aef947.jpg,https://img.moviesjoy.is/resize/1288x788/af/09/af093774eabfc5f00909ed74889e2730/af093774eabfc5f00909ed74889e2730.jpg,"Sven gives us a unique insight into the success story that is Svennis' career, with both a focus on his journey to the top of football Europe and the incurable cancer diagnosis that came to the public's attention in early 2024.",2024-08-23,['documentary'],"['svengoran-eriksson', 'piers-morgan', 'nancy-dellolio', 'tord-grip', 'arsene-wenger']",gb,"['whisper-films', 'up-and-away-film-entertainment']",7.2
95,Kung Fu Games,2024,Movie,94m,https://img.moviesjoy.is/resize/188x288/2c/fc/2cfc53bf3bc5d3d319cf96f4f01d8cdc/2cfc53bf3bc5d3d319cf96f4f01d8cdc.jpg,https://img.moviesjoy.is/resize/1288x788/7b/b1/7bb1e319bdc2d1c7a7d1e9a1a8b30155/7bb1e319bdc2d1c7a7d1e9a1a8b30155.jpg,"Notorious fighters are trapped in lethal martial arts games by a sadistic magnate. Armed only with their combat skills, they face brutal battles for survival in a deadly kill-or-be-killed showdown.",2024-08-23,['action'],"['lathrop-walker', 'jade-xu', 'mark-strange', 'caitlin-dechelle', 'jose-manuel']",Na,"['tiger-style-media', 'mcintosh-films', 'topanga-venom-media']",3.1
96,Charlie Tango,2024,Movie,98m,https://img.moviesjoy.is/resize/188x288/39/51/39516344c606b1fb87d990f34c21235b/39516344c606b1fb87d990f34c21235b.jpg,https://img.moviesjoy.is/resize/1288x788/61/83/6183d804f3c5923c76f0a840544cf201/6183d804f3c5923c76f0a840544cf201.jpg,"Desperate for a fresh start at life after a tragedy on her watch, a suspended air traffic controller finds herself sucked into a world of financial fraud and manipulation when she throws in her lot with her secret lover.",2024-08-23,['thriller'],"['bruce-dinsmore', 'anana-rydvald', 'david-la-haye', 'vitali-makarov', 'diana-lewis']",ca,['productions-1984'],4.3
97,Lady Scorpions,2024,Movie,96m,https://img.moviesjoy.is/resize/188x288/c5/1b/c51b1566928419b102721c9932a06ac3/c51b1566928419b102721c9932a06ac3.jpg,https://img.moviesjoy.is/resize/1288x788/70/b7/70b7cddd330373e812a07e75399dedf8/70b7cddd330373e812a07e75399dedf8.jpg,"An ex-FBI agent's fight against a crime syndicate becomes personal when they kidnap her granddaughter. She and her daughter, both martial arts masters, form an unstoppable team. Together, they outmaneuver and defeat the syndicate's henchmen in a calculated game of cat and mouse, on a relentless mission to save her and topple the criminal empire.",2024-08-23,['action'],"['bruce-del-castillo', 'caitlin-dechelle', 'david-w-rice', 'cynthia-rothrock', 'mark-allyn']",us,"['tiger-style-media', 'mcintosh-films', 'topanga-venom-media']",3.8
98,Greedy People,2024,Movie,90m,https://img.moviesjoy.is/resize/188x288/28/d2/28d20c154e2329507f9fde2ac6dbe558/28d20c154e2329507f9fde2ac6dbe558.jpg,https://img.moviesjoy.is/resize/1288x788/55/b3/55b394c11b83f1521930c5ec82aa0443/55b394c11b83f1521930c5ec82aa0443.jpg,"The eclectic residents of a small, picturesque island town must navigate a sensational murder and the discovery of a million dollars, leading to a series of increasingly bad decisions which upend the once-peaceful community.",2024-08-23,"['mystery', 'comedy', 'crime']","['tim-blake-nelson', 'himesh-patel', 'jim-gaffigan', 'jose-maria-yazpik', 'traci-lords']",us,['limelight'],N/A
99,Incoming,2024,Movie,91m,https://img.moviesjoy.is/resize/188x288/cb/43/cb43ce92dc18105a50ca1af7f7451190/cb43ce92dc18105a50ca1af7f7451190.jpg,https://img.moviesjoy.is/resize/1288x788/37/87/3787c997028b0dcd28d3975d2e3d2616/3787c997028b0dcd28d3975d2e3d2616.jpg,Four incoming freshmen navigate the terrors of adolescence at their first-ever high school party.,2024-08-23,['comedy'],"['ramon-reed', 'imogen-tear', 'bobby-cannavale', 'thomas-barbusca', 'scott-macarthur']",us,"['artists-road', 'broken-road-productions']",N/A
100,The Air He Breathes,2024,Movie,106m,https://img.moviesjoy.is/resize/188x288/5a/a2/5aa22f74a2ab7196b03f64c4be724115/5aa22f74a2ab7196b03f64c4be724115.jpg,https://img.moviesjoy.is/resize/1288x788/af/74/af745b956b40a03ce5c85a1decd98c4d/af745b956b40a03ce5c85a1decd98c4d.jpg,"Still mourning her husband's death, Elizabeth moves home with daughter and meets neighbor rumored to have a dark past who is also drowning in grief.",2024-08-22,"['drama', 'romance']","['charlotte-ann-tucker', 'kelcie-stranahan', 'tj-jackson', 'cindy-hogan', 'ryan-carnes']",us,['passionflix'],7
101,Strange Darling,2024,Movie,97m,https://img.moviesjoy.is/resize/188x288/84/8e/848ec2d2edf7597f5b4b873057caee8c/848ec2d2edf7597f5b4b873057caee8c.jpg,https://img.moviesjoy.is/resize/1288x788/89/de/89de0f567a1643bf752107f5084469fb/89de0f567a1643bf752107f5084469fb.jpg,Nothing is what it seems when a twisted one-night stand spirals into a serial killer’s vicious murder spree.,2024-08-22,"['crime', 'horror', 'thriller']","['barbara-hershey', 'ed-begley-jr', 'bianca-a-santos', 'willa-fitzgerald', 'steven-michael-quezada']",us,"['miramax', 'spooky-pictures', 'no-remake-pictures']",7.7
102,Between the Temples,2024,Movie,111m,https://img.moviesjoy.is/resize/188x288/b4/ff/b4fffbfb047482f1409801a1a286b89f/b4fffbfb047482f1409801a1a286b89f.jpg,https://img.moviesjoy.is/resize/1288x788/94/07/94072b75e456c2270ff76450c12dca94/94072b75e456c2270ff76450c12dca94.jpg,A cantor in a crisis of faith finds his world turned upside down when his grade school music teacher reenters his life as his new adult bat mitzvah student.,2024-08-22,"['comedy', 'drama']","['cindy-silver', 'annie-hamilton', 'jason-grisell', 'lindsay-burdge', 'pauline-chalamet']",us,"['ley-line-entertainment', 'fusion-entertainment']",6.8
103,The Forge,2024,Movie,123m,https://img.moviesjoy.is/resize/188x288/99/a4/99a4972c26aef786375e98d757ce101e/99a4972c26aef786375e98d757ce101e.jpg,https://img.moviesjoy.is/resize/1288x788/fd/7e/fd7e26716ab146c59080b7fbe2fd1702/fd7e26716ab146c59080b7fbe2fd1702.jpg,"19 year old Isaiah Wright lives for basketball and video games. A year out of high school, he has no job, no plans, and no idea how to be a man. At odds with his single mother Cynthia, Isaiah is given an ultimatum – to step up or move out. Feeling the pull from his friends and the push from his mom, Isaiah is hired by Moore Fitness, unaware of how the owner will personally impact his life. With the prayers of his mother and unexpected guidance from his new mentor, Isaiah is forced to deal with his past, sacrifice his selfishness and discover how God might have a greater purpose for his life.",2024-08-22,['drama'],"['aspen-kennedy-wilson', 'cameron-arnett', 'benjamin-charles-watson', 'tc-stallings', 'ken-bevel']",us,"['affirm-films', 'kendrick-brothers', 'provident-films', 'kendrick-brothers-productions']",7.5
104,Place of Bones,2024,Movie,93m,https://img.moviesjoy.is/resize/188x288/30/a9/30a9fe8002d7614008f0f98fe5031dfa/30a9fe8002d7614008f0f98fe5031dfa.jpg,https://img.moviesjoy.is/resize/1288x788/e1/53/e153dbf0d23078891f470ae2718d3371/e153dbf0d23078891f470ae2718d3371.jpg,"On a remote ranch, a mother and her daughter fight for survival when a wounded outlaw seeking refuge brings a notorious bank robber and his ruthless gang, all desperate to reclaim a stolen fortune, right to their doorstep.",2024-08-22,"['horror', 'western', 'thriller', 'action']","['brielle-robillard', 'heather-graham', 'donald-cerrone', 'corin-nemec', 'tom-hopper']",ca,"['goldrush-entertainment', 'latigo-films']",N/A
